"","date","dow","holiday","temp","rh","co","fsp","no2","o3h8max","copd"
"61",2005-03-02,3,0,13.9,91,1260.30846731262,28.763131089521,54.0418310206864,22.3512678543494,68
"62",2005-03-03,4,0,12.6,77,1028.99204219184,40.5209813310669,56.7411115589886,29.3036488067304,75
"63",2005-03-04,5,0,12.5,63,1128.64180064595,72.4400634566708,70.1137400174867,49.938569441651,85
"64",2005-03-05,6,0,13.9,52,1152.25291175706,60.8283484808254,82.1213651821771,86.4286488067304,78
"65",2005-03-06,7,0,14.1,58,825.030689534838,31.787285678893,64.3200011583066,80.0119821400637,100
"66",2005-03-07,1,0,16.2,70,892.530689534838,34.7492422006321,86.9587616625083,48.6369821400637,96
"67",2005-03-08,2,0,18.1,78,904.812435566584,39.480906671427,87.6487331945994,37.995315473397,101
"68",2005-03-09,3,0,19.6,84,843.889385187012,34.2551945815845,75.4535597991543,49.345315473397,87
"69",2005-03-10,4,0,20.7,87,904.336245090394,36.5411833512689,75.285593960645,33.8869821400637,88
"70",2005-03-11,5,0,21.1,95,1042.08382963146,38.1103533117432,55.8655490113151,21.7619821400637,82
"71",2005-03-12,6,0,15.8,93,1039.04035137059,14.0825755339655,46.1709749926564,30.8869821400637,95
"72",2005-03-13,7,0,10.5,74,1029.68648663629,18.0270199784099,43.3398434430466,25.845315473397,82
"73",2005-03-14,1,0,12.6,72,1030.58624509039,34.8464644228544,57.3707854720321,23.8147599178415,90
"74",2005-03-15,2,0,14.8,88,1045.02000577415,43.549362973579,58.2748289285756,25.5869821400637,84
"75",2005-03-16,3,0,18.6,90,1099.83141417252,42.5276238431442,69.65672420721,40.5167440448256,97
"76",2005-03-17,4,0,22,85,1292.91112431745,50.097672152323,91.037357608896,32.6250773781589,97
"77",2005-03-18,5,0,19.1,79,1311.55846731262,53.638131089521,67.9201229461522,74.3036488067304,83
"78",2005-03-19,6,0,17,71,1038.36402286817,47.7770199784099,52.3349521386988,95.595315473397,87
"79",2005-03-20,7,0,18.8,70,972.391800645949,32.0535900267191,72.3550278962745,77.0619821400637,97
"80",2005-03-21,1,0,18.9,83,870.662002666151,31.7460581865785,61.516770320517,60.5814265845081,99
"81",2005-03-22,2,0,20.6,92,917.884224888373,45.5409088672988,77.1665342643027,47.3036488067304,83
