"","date","copd","temp","rh","co","fsp","no2","o3h8max"
"1","2005-01-01",-1.01059641185593,-2.45723292280671,-2.24716570458546,-1.14099907064868,-0.904420285766495,-0.962291549994024,0.417638024147857
"2","2005-01-02",1.2345098551049,-1.36928114905576,-1.04886876354499,0.323436283556728,-0.287934724389138,0.0709523423905459,-0.48861411335025
"3","2005-01-03",1.72015340930565,-0.166181194871315,-0.377096235992,2.36456642350697,1.39278948197896,2.42391417798611,-0.937877449945835
"4","2005-01-04",-0.0631934126774214,0.234852123190166,-1.24858492038507,5.51628176876133,3.21642139743605,2.57608973098221,-1.00270777743034
"5","2005-01-05",-0.0631934126774214,0.290440899951165,0.376378355722842,1.08801114649548,1.05857147318571,-0.0293721599555999,0.13655529211501
"6","2005-01-06",0.303029595408388,0.921770578879638,-0.440642285895662,4.30396488717694,4.97581335322609,3.578234804938,0.474276191463211
"7","2005-01-07",-1.17778517641684,0.838387413738141,0.675952590982961,0.563359128525724,1.1383187494343,1.09961029987986,0.42049773227854
"8","2005-01-08",-1.05040326056091,0.981329982552135,0.512548462659259,0.969470042918379,1.37744065455281,0.922117855661126,0.620024565072229
"9","2005-01-09",-0.708064361698086,0.290440899951165,-0.0502879793445991,1.06533398160095,2.10717304872195,-0.649796955229549,0.5128471693061
"10","2005-01-10",-0.023386563972442,-0.352800659711808,0.276520277302803,1.15550321558634,2.59107405791911,-0.458371132992958,-0.057583808036935
"11","2005-01-11",-0.0393093034544339,0.322205915243164,0.59425052682111,1.69099040173955,2.53487354900716,1.49758126470533,0.324666680333511
"12","2005-01-12",-1.75100379776854,0.115733315845172,0.0677261133336291,1.70957273959653,2.01239153050507,0.192032282754794,-0.640798424886087
"13","2005-01-13",-0.851369017036011,-1.43281117963976,0.757654655144811,0.608948688788697,-0.513263392481029,-0.46373630058834,-0.905071601170857
"14","2005-01-14",0.581677536343243,-1.65119565977225,-1.54815915564519,-0.986801063727089,0.239094952764868,-0.206647453203618,0.00474294597257327
"15","2005-01-15",-0.548836966878169,-1.18266168421527,-2.11099559764905,-0.274294496041298,1.58072085090303,0.560435743283773,0.334670343348275
"16","2005-01-16",-0.596605185324144,-0.801481500711286,-1.46645709148334,1.04328368252937,3.48952036734728,1.53533009082057,0.733859021178253
"17","2005-01-17",0.398566032300338,-0.0986805373758171,-0.349862214604717,-0.475237732406615,1.22065643595521,0.705748204580455,0.814999252804367
"18","2005-01-18",0.342836444113367,0.143527704225672,0.194818213140952,-1.00915938609397,0.693918339845047,0.364695575535926,0.336691274633191
"19","2005-01-19",0.0721498729195079,0.155439584960171,0.285598284431897,-0.150978323846019,1.29927105935462,0.729850186179116,-0.639341993607635
"20","2005-01-20",-1.48827859631568,-0.317065017508309,0.585172519692015,0.422178353066641,2.12980060218156,-0.0180989194834385,-0.225227552894842
"21","2005-01-21",-0.540875597137173,-0.0827980297298191,0.340066327206465,-1.69910773766884,-0.0949140418846908,-0.509428380377178,0.551473427752259
"22","2005-01-22",0.51002520867428,0.429412841853658,0.866590740693944,-0.719072453043883,0.137298777842686,0.792683220214523,-0.0591508005219275
"23","2005-01-23",-0.516991487914186,1.06074252078213,1.12077494030859,-0.0647901577774669,0.698894884334194,0.633113172172694,0.843057348229298
"24","2005-01-24",-0.0950388916414048,1.36251016605612,1.05722889040493,-1.07895813210889,-0.903696168833807,0.484892386315928,0.379741044429447
"25","2005-01-25",1.74403751852864,2.79590648110756,1.36588113279414,-1.07430201737072,-1.03451724908312,1.09847163354679,0.329620672857295
"26","2005-01-26",-0.509030118173189,2.11295865232959,1.7562354393452,-0.948970225494131,-1.29211073375621,0.0437657806523805,-0.505029656792876
"27","2005-01-27",1.06732109054399,1.7397197226486,1.41127116843961,-1.38880609135088,-1.10916868647986,-0.240603201120578,-0.199388123220368
"28","2005-01-28",-2.08538132689037,1.7278078419141,1.6019093181506,5.13647243412375,2.02505261850246,0.439062036256921,-0.994534752854628
"29","2005-01-29",-2.2207246124873,1.26721512018012,1.18432099021225,2.50001836067459,0.775800088720347,-0.5263696658044,-0.668857583399542
"30","2005-01-30",-0.970789563150949,0.774857383154143,1.51112924685965,4.34135334920967,0.91644231971007,-1.18470702706689,-1.05888243814905
"31","2005-01-31",-1.4484717476107,-0.868982158206785,1.05722889040493,2.58436845870937,-0.309634555284944,-1.49531355399718,-1.16601943655125
"32","2005-02-01",-0.771755319626053,-1.48839995640076,0.158506184624575,1.61684952678179,0.963763891713097,-0.803790757735642,-0.728155598202986
"33","2005-02-02",-1.50420133579767,-1.27398610317977,0.630562555337488,1.10685935183429,0.894097577218704,-0.615950471313891,-0.85662346784761
"34","2005-02-03",-0.445339160245223,-1.07942538451627,1.40219316131052,0.373402327389246,-0.462368254751967,-1.20966306201217,-0.799261337247129
"35","2005-02-04",-1.30516709227278,0.294411526862665,1.61098732527969,1.72927461403701,0.970139768608596,0.0416653077712943,-1.12239772512886
"36","2005-02-05",-1.58381503320763,1.02103625166713,1.46573921121418,-0.0398450998948105,-0.664404167340593,-0.451733368155323,-0.37124063554644
"37","2005-02-06",-0.938944084186965,0.691474218012647,1.41127116843961,-0.705780498704391,-1.24547769925304,-1.07200902110075,-0.320924655685792
"38","2005-02-07",-0.811562168331032,1.6603071844186,1.02999486901765,-0.596681559084898,-1.09222230949978,0.220745867802232,-0.433769376375588
"39","2005-02-08",-2.64267720876008,1.12030192445463,2.12843373163808,-0.154882199667684,-1.0200614260705,-0.36436986481738,-0.538147660056925
